Prendre en compte	game	platforms	editor	developer	gender	Type	Multijoueur	Date
1	Dead or Alive 6	PS4, Xbox One, PC	Koei	Team Ninja	Multi	combat	yes	01/03/2019
1	Dead Cells	PC, Xbox One, PS4, Switch	Motion-Twin	Motion-Twin	M	action / aventure / plate-formes / Rogue-like /Metroidvania		07/08/2018
1	Defender's Quest: Valley of the Forgotten DX	Nintendo Switch	Level Up Labs	Level Up Labs	Multi	RPG / Stratégie / Tactique	no	20/02/2018
1	Devil May Cry 5	PS4, Xbox One	Capcom	Capcom	M	Action / Beat'em All / Plate-Forme		08/03/2019
1	Déraciné	PS4 VR	FromSoftware	Sony Computer Entertainment	Autre	Aventure / poétique / solitude	no	06/11/2018
1	Divinity: Original Sin 2 †	PC, PS4, Xbox One	Bandai Namco Games	Larian Studios	Multi	"RPG / Tour par tour / Coopération / Fantasy / Monde ouvert / Aventure / stratégie / tactique"	yes	14/09/2017
1	Dreams	PS4	Media Molecule	Sony Interactive Entertainment	Multi	sandbox	no	2019
1	Tom Clancy's The Division 2 †	PC, PS4, Xbox One	Ubisoft	Massive Entertainment, Ubisoft Reflections, PLUS	Multi	action / rpg / fps / mmo / post-apocalyptique	yes	15/03/2019
1	Dragon Quest XI †	PS4, Switch, PC	Square Enix	Square Enix, Toylogic, ORCA	Multi	rpg/ combat / tour par tour / fantasy / narratif / aventure / action /horreur	no	29/07/2017
1	Fallout 76	PS4, Xbox One, PC	Bethesda	Bethesda	Multi	RPG / survie	yes	14/11/2018
1	Farming Simulator 19 †	Xbox One, PC, PS4	Focus Home Interactive	GIANTS Software	Multi	Simulation	yes	20/11/2018
1	Fate Extella Link †	PS4, PC, Switch	Marvelous’ First Studio	Marvelous	Multi	action	yes	07/06/2018 (Japon sur PS4)
1	Fear the Wolves	PC, Xbox One, PS4	Focus Home Interactive	Vostok Games	Multi	FPS / battle royale / post-apocalyptique / survie	yes	31/12/2019
1	FIFA 19 †	Xbox One, PS4, PC, Nintendo Switch	Electronic Arts	Electronic Arts	Multi	sport	yes	28/09/2018
1	Fire Emblem: Three Houses	Nintendo Switch	Nintendo	Nintendo / Intelligent Systems	Multi	Jeu de rôle tactique tour par tour	no	26/9/2019
1	Firewall Zero Hour	PS4 VR	Sony Interactive Entertainment	First Contact Entertainment Inc.	Multi	Jeu de tir à la première personne	yes	28/08/2018
1	For Honor †	PC, PS4, Xbox One	À ubisoft	Ubisoft Montréal	Multi	action / combat	yes	14/02/2017
1	Forza Horizon 4	Xbox One, PC	Microsoft Studios	Playground Games	Multi	sport / course / automobile	yes	02/10/2018
