to_keep	game	platforms	editor	developer	gender	type	year
1	Knack 2	PS4	Sony Interactive Entertainment	SIE Japan Studio	m	Action /  Beat'em All / Plate-Forme	2017
1	Lego Marvel Super Heroes 2	Xbox One, PC, PS4, Switch	WB Games	Traveller's Tales	multi		2017
1	Life is Strange: Before the Storm	PS4, Xbox One, PC	Square Enix France	Deck Nine	f	histoire / narratif / aventure / 3ème personne / mystère / action / Pointer et cliquer	2017
1	Lone Echo	PC	Oculus Studios	Ready at Dawn Studios	m	aventure	2017
1	Madden NFL 18 	Xbox One, PS4, TBA	Electronic Arts	EA Tiburon	m	football américain / sport / simulation	2017
1	Marvel vs Capcom: Infinite	Xbox One, PS4, PC	Capcom	Capcom	multi	combat	2017
1	Mario + Rabbids Kingdom Battle	Nintendo Switch	Ubisoft	Ubisoft	multi	tactique / aventure / stratégie	2017
1	Matterfall	PS4	Sony Interactive Entertainment	Housemarque	f	action / tir / science-fiction	2017
1	Metal Gear Survive	PC, PS4, Xbox One	Konami	Konami	multi	action / aventure / survie	2017
1	Metro Exodus	PC, Xbox One, PS4	Deep Silver	4A Games	m	fps / Post-apocalyptique / combat /  infiltration / exploration / survival horror	2017
1	Middle-earth: Shadow of War	PS4, Xbox One, PC	Warner Bros. Interactive Entertainment	Monolith Productions	multi	action / infiltration / heroic fantasy / fantasy / Monde ouvert / rpg / violence / 3e personne / guerre / narratif /  Hack 'n' slash / stratégie / médiéval / magie	2017
1	Minion Masters: Forced to Duel	Xbox One	BetaDwarf	BetaDwarf	multi	Stratégie / cartes / tactique / action / fantasy / rpg 	2017
1	Monster Hunter World	PS4	Capcom	Capcom	multi	Action / chasse / monde ouvert / RPG / 3e personne / aventure / fantasy / exploration / Hack 'n' slash	2017
1	Moss	PS4	Polyarc	Polyarc	other	action / aventure / enigme	2017
1	Mystic Melee	PC	Serenity Forge	Ben Hopkins	multi	Action / aventure / plateformes / combat	2017
1	NBA LIVE 18 	PS4, Xbox One, TBA	Electronic Arts	EA Games	m	sport / basket	2017
1	NBA 2K18	PS4, Switch, Xbox One	2K Sports	Visual Concepts	m	sport / basket	2017
1	Need for Speed Payback 	Ps4, Xbox One, TBA	Electronic Arts	Ghost Games	multi	course / voiture / automobile	2017
1	Nidhogg 2 	PS4, PC	Messhof Games	Messhof Games	multi	Action / combat / humour / gore / comédie / plateformes / horreur	2017
1	Ni No Kuni 2	PS4, PC	Level-5	Level-5	multi	fantastique / rpg	2017
1	Observer	PS4, Xbox One, PC	Aspyr	Bloober Team	m	survie / horreur / Science-fiction / narratif / aventure / 1re personne / détective / infiltration / survie	2017
1	Ori and the Will of the Wisps	Xbox One, PC	Microsoft Studios	Moon Studios	other	plates-formes / aventure / Metroidvania / action	2017
1	Osiris New Dawn	Xbox One, PC	Reverb Triple XP	Fenix Fire Entertainment	multi	Espace / monde ouvert / science-fiction / construction / aventure / fabrication / action / rpg / fps / horreur / survie	2017
1	Overland	PC	Finji	Finji	other	stratégie / post-apocalyptique / survie / Rogue-like	2017
1	Pokemon: Let's Go, Pikachu/Eevee 	Nintendo Switch	Nintendo	Game Freak	multi	aventure / rpg	2017
1	Pokken Tournament DX 	Switch	Nintendo	Bandai Namco Entertainment	other	combat	2017
1	Pretta: Vendetta Rising	PC, PS4	YJM GAMES	Illion Corp	multi	Aventure / violence / action / rpg / hack'n slash	2017
1	"Raiders of the Broken Planet (renommé depuis en ""Space Lords"")"	Xbox One	MercurySteam	MercurySteam	multi	aventure / tir / tactique / stratégie / 3e personne / futuriste / violence / humour	2017
1	Player Unknown's Battlegrounds	PC, Xbox One	 PUBG Corporation (Bluehole)	 PUBG Corporation (Bluehole)	multi	Action / Aventure / MMO / MMOFPS / Shooter / Battle Royale	2017
1	Project Cars 2	PC, PS4, Xbox One	Bandai Namco Entertainment	Série : Pikmin	other	course / simulation / voiture	2017
1	Red Dead Redemption 2	PS4, Xbox One	Rockstar Games	Rockstar Studios	m	tir / action /aventure / western / tps	2017
1	Redout	PS4, Switch, Xbox One	505 Games	34BigThings	other	course / voiture	2017
1	Riverbond	PS4, Xbox One, PC	Cococucumber	Cococucumber	other	action / aventure / hack-and-slash 	2017
1	River City: Knights of Justice	3DS	Natsume	Arc System Works	m	rpg / aventure / combat / action / beat'em up 	2017
1	Robocraft Infinity	Xbox One	Freejam Games	Freejam Games	other	mmo / construction / robots / stratégie / tir / combat	2017
1	Roto Color Rhythm	PC	Blue Volcano	Blue Volcano	other	musique / rythme	2017
1	Sakuna: Of Rice and Ruin 	PS4, PC	Xseed Games	Edelweiss	f	Action / Plate-Forme / combat	2017
1	Senran Kagura: Peach Beach Splash	PS4	Marvelous	Tamsoft	f	tps / Adulte / action / tir / troisième personne / narratif / beat them all	2017
1	Shadowverse	PC	Cygames	Cygames	other	cartes / Stratégie / fantasy / aventure / rpg / MMORPG / horreur	2017
1	Skull and Bones 	PS4, Xbox One, PC	Ubisoft	Ubisoft Singapour, Blue Byte, Ubisoft Chengdu	multi	action / aventure	2017
1	Songbringer 	PS4, Xbox One, PC	Wizard Fu Games	Wizard Fu Games	m	Aventure / action / rpg	2017
1	Sonic Forces	PS4, Switch, Xbox One, PC	Sega	Sonic Team	other	courses / plateformes	2017
1	Sonic Mania	PS4, Switch, Xbox One, PC	Sega	Tantalus Media	other	plateformes	2017
1	South Park Phone Destroyer	iOS, Android	Ubisoft	RedLynx	multi	stratégie / action / cartes	2017
1	Splatoon 2 	Switch	Nintendo	Nintendo EPD	multi	Party-Game / tir / tps / troisième personne	2017
1	Starlink: Battle for Atlas 	PS4, Xbox One, Nintendo Switch	Ubisoft	Ubisoft Toronto, Virtuos	multi	action / aventure	2017
1	Strange Brigade	Xbox One, PS4, PC	Rebellion Developments	Rebellion Developments	multi	TPS / tir / action / troisième personne / horreur / zombies / tir 	2017
