to_keep	game	platforms	editor	developer	gender	Source explication	Source nom	Source lien	Autre source	Autre source	type	Multijoueur	Date de sortie	Annoncé en
0 (extension)	Final Fantasy XV: Monsters of the Deep	PSVR	Square Enix	Square Enix	Multi (choix + personnalisation)	Le joueur peut choisir un avatar masculin ou féminin.	Gameblog	http://www.gameblog.fr/tests/2904-monster-of-the-deep-final-fantasy-xv-ps-vr	http://www.jeuxvideo.com/test/755557/monster-of-the-deep-final-fantasy-xv-lachez-prise-sur-ps4.htm	https://finalfantasyxv.square-enix-games.com/fr/playstation-vr	sport / pêche	yes	21/11/2017	
1	Final Fantasy Brave Exvius †	Android, iOS	Square Enix	Gumi, Alim Co., Ltd.				https://www.finalfantasyexvius.com/fr/	http://www.jeuxvideo.com/jeux/android/jeu-446795/	https://exvius.gamepedia.com/About_the_game#Main_Characters	rpg / aventure	no	06/2016	
0 (2015)	For Honor †	PC, PS4, Xbox One	ubisoft		Multi (choix)	Il est possible de changer le genre du personnage joué.	Youtube (For Honor - How to Change Gender/Skin/Race (Tutorial))	https://www.youtube.com/watch?v=e0q41-rRco8	https://www.youtube.com/watch?v=2NxQZEnSnXQ	http://jstationx.com/2016/08/18/for-honor-female-characters-black-vikings/	action / combat	yes	14/02/2017	
1	Forza Horizon 3	Xbox One, W10	Microsoft Games Studios	Playground Games	Multi (choix + personnalisation)	Les femmes représentent environ la moitié des personnages jouables.	Forza Horizon 3 - Festival Arrival Cutscene & Character Customization (Face, Gender & Name) Gameplay (Youtube)	https://www.youtube.com/watch?v=qqUCbAFPRDM	https://www.youtube.com/watch?v=KzNf70Ri0Pw	https://www.youtube.com/watch?v=o8jyE0xacg8	sport / automobile / course	yes	27/09/2016	
1	Furi†	PS4, PC	The Game Bakers	The Game Bakers	M	Le joueur incarne un bretteur.	Jeuxvideo.com	http://www.jeuxvideo.com/videos/515044/furi-notre-avis-tranche-en-quelques-minutes.htm	https://www.youtube.com/watch?v=w8qjW_SQeCc	http://www.jeuxvideo.com/test/514917/furi-l-experience-hardcore-incontournable-de-l-ete.htm	Action / Hack 'n' slash / combat / 3e personnage / science-fiction / arcade / Beat them all	no	05/07/2016	
0 (2014)	Gears of War 4	Xbox One, W10	Xbox Game Studios	The Coalition	Multi (choix + personnalisation)	Plusieurs personnages de différents genres sont disponibles et personnalisables.	Gears of War 4 Customization - All Characters, Weapons and Outfits (Youtube)	https://www.youtube.com/watch?v=_84UnRaPSrU	https://www.youtube.com/watch?v=R50JilihKOU	http://www.jeuxvideo.com/test/547263/gears-of-war-4-retour-au-sommet.htm	science-fiction / action / tps	yes	11/10/2016	
0 (2015)	Gnog†	PS4, PC	Double Fine Productions	KO_OP Mode	n/a	Il s'agit d'un jeu de puzzle.	Gnog Game	https://www.gnoggame.com/	https://store.steampowered.com/app/290510/GNOG/	http://www.gameblog.fr/tests/2764-gnog-ps4	Casual / aventure / casse-tête / Pointer et cliquer	no	02/05/2017	
1	God of War	PS4	Sony Interactive Entertainment	Sony Santa Monica	M	Le joueur incarne un personnage masculin.	Gamekult	https://www.gamekult.com/jeux/god-of-war-ps4-3050376157/test.html	https://godofwar.playstation.com/	http://www.gameblog.fr/tests/3023-god-of-war-ps4	historique / action / aventure / Hack 'n' slash	yes	20/04/2018	
1	Gravity Rush 2†	PS4	Sony Interactive Entertainment	Japan Studio	F	Le joueur incarne Kat, une jeune femme.	Jeuxvideo.com	http://www.jeuxvideo.com/jeux/ps4/jeu-442743/	http://www.gameblog.fr/tests/2672-gravity-rush-2-ps4	https://www.jeuxactu.com/test-gravity-rush-2-sur-ps4-107612.htm	action /rpg	no	18/01/2017	
1	Grow Up	PC, PS4, Xbox One	Ubisoft	Ubisoft	n/a	Le joueur incarne un petit robot non-genré.	Gamekult	https://www.gamekult.com/jeux/grow-up-3050713797/test.html	https://www.youtube.com/watch?v=yEBtCHk8_YA	http://www.jeuxvideo.com/jeux/pc/jeu-501144/	aventure / plateformes / robots	yes	16/08/2016	
